ID,NO,AREA,CATEGORY,STATUS
6519,XF2B001,41,12,未锁定
6520,XF2B002,41,12,未锁定
6521,XF2B003,41,12,锁定
6522,XF2B004,41,12,锁定
6523,XF2B005,41,12,未锁定
6524,XF2B006,41,12,未锁定
6525,XF2B007,41,12,锁定
6526,XF2B008,41,12,锁定
6527,XF2B009,41,12,未锁定
6528,XF2B010,41,12,未锁定
6529,XF2B011,41,12,锁定
6530,XF2B012,41,12,锁定
6531,XF2B013,41,12,未锁定
6532,XF2B014,41,12,未锁定
6533,XF2B015,41,12,锁定
6534,XF2B016,41,12,锁定
6535,XF2B017,41,12,未锁定
6536,XF2B018,41,12,未锁定
6537,XF2B019,41,12,锁定
6538,XF2B020,41,12,锁定
6539,XF2B021,41,12,未锁定
6540,XF2B022,41,12,未锁定
6541,XF2B023,41,12,锁定
6542,XF2B024,41,12,锁定
6543,XF2B025,41,12,未锁定
6544,XF2B026,41,12,未锁定
6545,XF2B027,41,12,锁定
6546,XF2B028,41,12,锁定
6547,XF2B029,41,12,未锁定
6548,XF2B030,41,12,未锁定
6549,XF2B031,41,12,锁定
6550,XF2B032,41,12,锁定
6551,XF2B033,41,12,未锁定
6552,XF2B034,41,12,未锁定
6553,XF2B035,41,12,锁定
6554,XF2B036,41,12,锁定
6555,XF2C001,42,12,未锁定
6556,XF2C002,42,12,未锁定
6557,XF2C003,42,12,锁定
6558,XF2C004,42,12,锁定
6559,XF2C005,42,12,未锁定
6560,XF2C006,42,12,未锁定
6561,XF2C007,42,12,锁定
6562,XF2C008,42,12,锁定
6563,XF2C009,42,12,未锁定
6564,XF2C010,42,12,未锁定
6565,XF2C011,42,12,锁定
6566,XF2C012,42,12,锁定
6567,XF2C013,42,12,未锁定
6568,XF2C014,42,12,未锁定
6569,XF2C015,42,12,锁定
6570,XF2C016,42,12,锁定
6571,XF2C017,42,12,未锁定
6572,XF2C018,42,12,未锁定
6573,XF2C019,42,12,锁定
6574,XF2C020,42,12,锁定
6575,XF2C021,42,12,未锁定
6576,XF2C022,42,12,未锁定
6577,XF2C023,42,12,锁定
6578,XF2C024,42,12,锁定
6579,XF2C025,42,12,未锁定
6580,XF2C026,42,12,未锁定
6581,XF2C027,42,12,锁定
6582,XF2C028,42,12,锁定
6583,XF2C029,42,12,未锁定
6584,XF2C030,42,12,未锁定
6585,XF2C031,42,12,锁定
6586,XF2C032,42,12,锁定
6587,XF2A001,43,12,未锁定
6588,XF2A002,43,12,未锁定
6589,XF2A003,43,12,未锁定
6590,XF2A004,43,12,未锁定
6591,XF2A005,43,12,未锁定
6592,XF2A006,43,12,未锁定
6593,XF2A007,43,12,锁定
6594,XF2A008,43,12,锁定
6595,XF2A009,43,12,锁定
6596,XF2A010,43,12,锁定
6597,XF2A011,43,12,锁定
6598,XF2A012,43,12,锁定
6599,XF2A013,43,12,未锁定
6600,XF2A014,43,12,未锁定
6601,XF2A015,43,12,未锁定
6602,XF2A016,43,12,未锁定
6603,XF2A017,43,12,未锁定
6604,XF2A018,43,12,未锁定
6605,XF2A019,43,12,锁定
6606,XF2A020,43,12,锁定
6607,XF2A021,43,12,锁定
6608,XF2A022,43,12,锁定
6609,XF2A023,43,12,锁定
6610,XF2A024,43,12,锁定
6611,XF2A025,43,12,未锁定
6612,XF2A026,43,12,未锁定
6613,XF2A027,43,12,未锁定
6614,XF2A028,43,12,未锁定
6615,XF2A029,43,12,未锁定
6616,XF2A030,43,12,未锁定
6617,XF2A031,43,12,锁定
6618,XF2A032,43,12,锁定
6619,XF2A033,43,12,锁定
6620,XF2A034,43,12,锁定
6621,XF2A035,43,12,锁定
6622,XF2A036,43,12,锁定
6623,XF2A037,43,12,未锁定
6624,XF2A038,43,12,未锁定
6625,XF2A039,43,12,未锁定
6626,XF2A040,43,12,未锁定
6627,XF2A041,43,12,未锁定
6628,XF2A042,43,12,未锁定
6629,XF2A043,43,12,锁定
6630,XF2A044,43,12,锁定
6631,XF2A045,43,12,锁定
6632,XF2A046,43,12,锁定
6633,XF2A047,43,12,锁定
6634,XF2A048,43,12,锁定
6635,XF2A049,43,12,未锁定
6636,XF2A050,43,12,未锁定
6637,XF2A051,43,12,未锁定
6638,XF2A052,43,12,未锁定
6639,XF2A053,43,12,未锁定
6640,XF2A054,43,12,未锁定
6641,XF2A055,43,12,锁定
6642,XF2A056,43,12,锁定
6643,XF2A057,43,12,锁定
6644,XF2A058,43,12,锁定
6645,XF2A059,43,12,锁定
6646,XF2A060,43,12,锁定
6647,XF2A061,43,12,未锁定
6648,XF2A062,43,12,未锁定
6649,XF2A063,43,12,未锁定
6650,XF2A064,43,12,未锁定
6651,XF2A065,43,12,未锁定
6652,XF2A066,43,12,未锁定
6653,XF2A067,43,12,锁定
6654,XF2A068,43,12,锁定
6655,XF2A069,43,12,锁定
6656,XF2A070,43,12,锁定
6657,XF2A071,43,12,锁定
6658,XF2A072,43,12,锁定
6659,XF2A073,43,12,未锁定
6660,XF2A074,43,12,未锁定
6661,XF2A075,43,12,未锁定
6662,XF2A076,43,12,未锁定
6663,XF2A077,43,12,未锁定
6664,XF2A078,43,12,未锁定
6665,XF2A079,43,12,锁定
6666,XF2A080,43,12,锁定
6667,XF2A081,43,12,锁定
6668,XF2A082,43,12,锁定
6669,XF2A083,43,12,锁定
6670,XF2A084,43,12,锁定
6671,XF2A085,43,12,未锁定
6672,XF2A086,43,12,未锁定
6673,XF2A087,43,12,未锁定
6674,XF2A088,43,12,未锁定
6675,XF2A089,43,12,未锁定
6676,XF2A090,43,12,未锁定
6677,XF2A091,43,12,锁定
6678,XF2A092,43,12,锁定
6679,XF2A093,43,12,锁定
6680,XF2A094,43,12,锁定
6681,XF2A095,43,12,锁定
6682,XF2A096,43,12,锁定
6683,XF2A097,43,12,未锁定
6684,XF2A098,43,12,未锁定
6685,XF2A099,43,12,未锁定
6686,XF2A100,43,12,未锁定
6687,XF2A101,43,12,未锁定
6688,XF2A102,43,12,未锁定
6689,XF2A103,43,12,锁定
6690,XF2A104,43,12,锁定
6691,XF2A105,43,12,锁定
6692,XF2A106,43,12,锁定
6693,XF2A107,43,12,锁定
6694,XF2A108,43,12,锁定
6695,XF2A109,43,12,未锁定
6696,XF2A110,43,12,未锁定
6697,XF2A111,43,12,未锁定
6698,XF2A112,43,12,未锁定
6699,XF2A113,43,12,未锁定
6700,XF2A114,43,12,未锁定
6701,XF2A115,43,12,锁定
6702,XF2A116,43,12,锁定
6703,XF2A117,43,12,锁定
6704,XF2A118,43,12,锁定
6705,XF2A119,43,12,锁定
6706,XF2A120,43,12,锁定
6707,XF3B001,44,12,未锁定
6708,XF3B002,44,12,未锁定
6709,XF3B003,44,12,锁定
6710,XF3B004,44,12,锁定
6711,XF3B005,44,12,未锁定
6712,XF3B006,44,12,未锁定
6713,XF3B007,44,12,锁定
6714,XF3B008,44,12,锁定
6715,XF3B009,44,12,未锁定
6716,XF3B010,44,12,未锁定
6717,XF3B011,44,12,锁定
6718,XF3B012,44,12,锁定
6719,XF3B013,44,12,未锁定
6720,XF3B014,44,12,未锁定
6721,XF3B015,44,12,锁定
6722,XF3B016,44,12,锁定
6723,XF3B017,44,12,未锁定
6724,XF3B018,44,12,未锁定
6725,XF3B019,44,12,锁定
6726,XF3B020,44,12,锁定
6727,XF3B021,44,12,未锁定
6728,XF3B022,44,12,未锁定
6729,XF3B023,44,12,锁定
6730,XF3B024,44,12,锁定
6731,XF3B025,44,12,未锁定
6732,XF3B026,44,12,锁定
6733,XF3B027,44,12,锁定
6734,XF3B028,44,12,锁定
6735,XF3B029,44,12,未锁定
6736,XF3B030,44,12,未锁定
6737,XF3B031,44,12,锁定
6738,XF3B032,44,12,锁定
6739,XF3B033,44,12,未锁定
6740,XF3B034,44,12,未锁定
6741,XF3B035,44,12,锁定
6742,XF3B036,44,12,锁定
6743,XF3B037,44,12,未锁定
6744,XF3B038,44,12,未锁定
6745,XF3B039,44,12,锁定
6746,XF3B040,44,12,锁定
6747,XF3B041,44,12,未锁定
6748,XF3B042,44,12,未锁定
6749,XF3B043,44,12,锁定
6750,XF3B044,44,12,锁定
6751,XF3C001,45,12,未锁定
6752,XF3C002,45,12,未锁定
6753,XF3C003,45,12,未锁定
6754,XF3C004,45,12,未锁定
6755,XF3C005,45,12,未锁定
6756,XF3C006,45,12,未锁定
6757,XF3C007,45,12,未锁定
6758,XF3C008,45,12,未锁定
6759,XF3C009,45,12,未锁定
6760,XF3C010,45,12,锁定
6761,XF3C011,45,12,锁定
6762,XF3C012,45,12,锁定
6763,XF3C013,45,12,锁定
6764,XF3C014,45,12,锁定
6765,XF3C015,45,12,锁定
6766,XF3C016,45,12,锁定
6767,XF3C017,45,12,锁定
6768,XF3C018,45,12,锁定
6769,XF3D001,46,12,锁定
6770,XF3D002,46,12,锁定
6771,XF3D003,46,12,锁定
6772,XF3D004,46,12,锁定
6773,XF3D005,46,12,锁定
6774,XF3D006,46,12,锁定
6775,XF3D007,46,12,未锁定
6776,XF3D008,46,12,未锁定
6777,XF3D009,46,12,未锁定
6778,XF3D010,46,12,未锁定
6779,XF3D011,46,12,未锁定
